Distance,Blocked,Action,Reward
580.5385,0.0,1,-573.09518948453
578.01385,0.0,1,-570.538543078752
575.5215,0.0,1,-568.013840664737
573.06195,0.0,1,-565.5215026391281
568.70465,0.0,3,-563.0619512757761
566.25964,0.0,1,-558.7046685231272
563.8484,0.0,1,-556.2596577542851
561.47125,0.0,1,-553.848383876375
559.1288,0.0,1,-551.4712815451918
556.82135,0.0,1,-549.128786595718
554.5494,0.0,1,-546.8213357981176
552.3133,0.0,1,-544.5493666031907
550.11365,0.0,1,-542.3133168772956
547.95074,0.0,1,-540.1136246267674
545.8251,0.0,1,-537.9507277118993
543.73706,0.0,1,-535.8250635505849
541.6872,0.0,1,-533.7370688117558
539.67584,0.0,1,-531.6871790987858
537.7034,0.0,1,-529.6758286230726
535.77045,0.0,1,-527.7034498680476
533.8773,0.0,1,-525.770473243907
529.24475,0.0,3,-523.8773267333986
527.37555,0.0,1,-519.2447448959697
522.7332,0.0,3,-517.3755777432247
518.0975,0.0,3,-512.7332015474051
513.46857,0.0,3,-508.0974811751163
508.84674,0.0,3,-503.4685968976097
504.2321,0.0,3,-498.84673527497455
499.62485,0.0,3,-494.23208941914834
495.02524,0.0,3,-489.62485926943225
493.0771,0.0,1,-485.025251881154
488.46698,0.0,3,-483.0770730829005
483.86465,0.0,3,-478.4669896727925
479.27026,0.0,3,-473.86465049639656
474.6841,0.0,3,-469.27027865287033
470.10638,0.0,3,-464.68410548490033
465.53732,0.0,3,-460.1063709417263
460.97723,0.0,3,-455.537323960174
456.42633,0.0,3,-450.9772228646444
451.88495,0.0,3,-446.4263357870578
447.35333,0.0,3,-441.88494110780016
442.8318,0.0,3,-437.3533279187716
438.32065,0.0,3,-432.83179650969055
436.17657,0.0,1,-428.32065887886233
434.0795,0.0,1,-426.1765697512878
429.53464,0.0,3,-424.0794858087629
427.46344,0.0,1,-419.53463189829057
425.44095,0.0,1,-417.46344872983
423.46783,0.0,1,-415.4409477236529
421.54477,0.0,1,-413.46782640479313
416.92325,0.0,3,-411.54477816715985
415.03012,0.0,1,-406.92325432865937
413.1888,0.0,1,-405.03011938894264
411.40005,0.0,1,-403.1888188225814
409.6645,0.0,1,-401.40004861448426
407.98285,0.0,1,-399.6644968751869
409.6645,0.0,0,-397.98284277650697
407.98285,0.0,1,-399.6644968751869
403.2679,0.0,3,-397.98284277650697
401.6217,0.0,1,-393.2679010285842
400.03125,0.0,1,-391.62171256046406
398.49716,0.0,1,-390.03124877939223
397.02014,0.0,1,-388.4971769034255
395.6008,0.0,1,-387.0201506221063
390.80045,0.0,3,-385.60080889704966
389.42264,0.0,1,-380.80046059338264
388.10437,0.0,1,-379.4226495724151
383.27536,0.0,3,-378.1043674065006
382.0013,0.0,1,-373.275357934736
